Nom du Musée;Adresse;Téléphone;Horaires (Jours et Heures);Type de collection
LE LOUVRE;Musée du Louvre, 75001;01 79 75 80 00 - contacter mon petit paris pour réservation de tout musée ;Lundi jeudi samedi dimanche 9h-18h mercredi vendredi 9h-21h;Arts & Antiquités
MUSÉE D’ORSAY;1 Rue de la Légion d'Honneur, 75007;01 79 75 80 00 - contacter mon petit paris pour réservation de tout musée ;Mardi mercredi vendredi samedi dimanche 9h30-18h jeudi 9h30-21h45;Arts Impressionnistes
FONDATION L. VUITTON;8 Av. du Mahatma Gandhi, 75116;01 79 75 80 00 - contacter mon petit paris pour réservation de tout musée ;7/7 10h 20h;Art Contemporain
LA GALERIE DIOR;11 Rue François 1er, 75008;01 79 75 80 00 - contacter mon petit paris pour réservation de tout musée ;Mercredi-lundi 11h-19h;Mode & Haute Couture
MUSÉE RODIN;77 Rue de Varenne, 75007;01 79 75 80 00 - contacter mon petit paris pour réservation de tout musée ;Mardi-dimanche 10h-18h30;Sculpture
MUSÉE DE L’ORANGERIE;Jardin des Tuileries, 75001;01 79 75 80 00 - contacter mon petit paris pour réservation de tout musée ;Mercredi jeudi samedi dimanche lundi 9h-18h vendredi 9h-21h;Nymphéas de Monet
MUSÉE PICASSO;5 Rue de Thorigny, 75003;01 79 75 80 00 - contacter mon petit paris pour réservation de tout musée ;Mardi-dimanche 9h30-18h00;Art Moderne
PALAIS DE TOKYO;13 Av. du Président Wilson, 75116;01 79 75 80 00 - contacter mon petit paris pour réservation de tout musée ;Mercredi-lundi 12h-22h jeudi 12h-00h00 ;Art Contemporain
MUSÉE QUAI BRANLY;37 Quai Jacques Chirac, 75007;01 79 75 80 00 - contacter mon petit paris pour réservation de tout musée ;Mardi mercredi vendredi samedi dimanche 10h30-19h jeudi 10h30-22h;Arts Premiers
MUSÉE CARNAVALET;23 Rue de Sévigné, 75003;01 79 75 80 00 - contacter mon petit paris pour réservation de tout musée ;Mardi-dimanche 10h-18h00;Histoire de Paris
HÔTEL DE LA MARINE;2 Place de la Concorde, 75008;01 79 75 80 00 - contacter mon petit paris pour réservation de tout musée ;Samedi- jeudi 10h30-19h vendredi 10h30-21h30;Histoire & Décors
BOURSE DE COMMERCE;2 Rue de Viarmes, 75001;01 79 75 80 00 - contacter mon petit paris pour réservation de tout musée ;Mercredi jeudi samedi dimanche lundi 11h-19h vendredi 11h-21h;Collection Pinault
JACQUEMART-ANDRÉ;158 Bd Haussmann, 75008;01 79 75 80 00 - contacter mon petit paris pour réservation de tout musée ;Lundi-jeudi 10h-18h vendredi 10h-22h samedi-dimanche 10h-19h;Peinture & Renaissance
PETIT PALAIS;Avenue Winston Churchill, 75008;01 79 75 80 00 - contacter mon petit paris pour réservation de tout musée ;Dimanche mardi mercredi jeudi 10h-18h vendredi samedi 10h-20h;Beaux-Arts
GRAND PALAIS RMN;3 Avenue du Général Eisenhower, 75008;01 79 75 80 00 - contacter mon petit paris pour réservation de tout musée ;Selon expositions;Événements & Expos
MUSÉE DE L'ARMÉE;129 Rue de Grenelle, 75007;01 79 75 80 00 - contacter mon petit paris pour réservation de tout musée ;7/7 10h-18h;Histoire Militaire
MUSÉE GUIMET;6 Place d'Iéna, 75116;01 79 75 80 00 - contacter mon petit paris pour réservation de tout musée ;Mercredi-lundi 10h-18h;Arts Asiatiques
CONCIERGERIE;2 Boulevard du Palais, 75001;01 79 75 80 00 - contacter mon petit paris pour réservation de tout musée ;7/7 9h30-18h;Histoire Médiévale
OPÉRA GARNIER;Place de l'Opéra, 75009;01 79 75 80 00 - contacter mon petit paris pour réservation de tout musée ;7/7 10h-17h;Architecture / Musique
NISSIM DE CAMONDO;63 Rue de Monceau, 75008;01 79 75 80 00 - contacter mon petit paris pour réservation de tout musée ;Mardi-dimanche 11h-18h00;Arts Décoratifs XVIIIe
INSTITUT MONDE ARABE;1 Rue des Fossés Saint-Bernard, 75005;01 79 75 80 00 - contacter mon petit paris pour réservation de tout musée ;Mardi-vendredi 10h-18h00 samedi dimanche 10h-19h;Culture Arabe
CITE ARCHITECTURE;1 Place du Trocadéro, 75116;01 79 75 80 00 - contacter mon petit paris pour réservation de tout musée ;mercredi-lundi 11h-19h jeudi 11h-21h;Architecture
MARMOTTAN MONET;2 Rue Louis Boilly, 75016;01 79 75 80 00 - contacter mon petit paris pour réservation de tout musée ;Dimanche mardi mercredi vendredi samedi 10h-18h ;Impressionnisme
FONDATION CARTIER;261 Boulevard Raspail, 75014;01 79 75 80 00 - contacter mon petit paris pour réservation de tout musée ;Mardi 11h-22h mercredi-dimanche 11h-20h;Art Contemporain
MAISON EUROP. PHOTO;5-7 Rue de Fourcy, 75004;01 79 75 80 00 - contacter mon petit paris pour réservation de tout musée ;Mercredi vendredi 11h-20h  jeudi 11h-22h samedi dimanche 10h-20h;Photographie
GUSTAVE MOREAU;14 Rue de La Rochefoucauld, 75009;01 79 75 80 00 - contacter mon petit paris pour réservation de tout musée ;Mercredi-lundi 10h-18h;Peinture Symboliste
ARTS DÉCORATIFS;107 Rue de Rivoli, 75001;01 79 75 80 00 - contacter mon petit paris pour réservation de tout musée ;Selon expositions;Design & Mode
MUSÉE CLUNY;28 Rue du Sommerard, 75005;01 79 75 80 00 - contacter mon petit paris pour réservation de tout musée ;Mardi-dimanche 9h30-18h15;Moyen-Âge
