Nom;Adresse;Téléphone;Horaires (Jours et Heures);Catégorie 
BAR HEMINGWAY;38 Rue Cambon, 1er;01 43 16 33 74;"lundi : 17:00–00:00
mardi : 17:00–00:00
mercredi : 17:00–00:00
jeudi : 17:00–00:00
vendredi : 17:00–00:00
samedi : 17:00–00:00
dimanche : 17:00–00:00";Palace, Lounge, Rooftops
LE RITZ BAR;38 Rue Cambon, 1er;01 43 16 33 74;"lundi : Fermé
mardi : 17:00–23:30
mercredi : 17:00–23:30
jeudi : 17:00–23:30
vendredi : 17:00–23:30
samedi : 17:00–23:30
dimanche : Fermé";Palace, Lounge, Rooftops
BAR DU BRISTOL;112 Fbg St-Honoré, 8e*;01 53 43 42 41;"lundi : 18:00–00:00
mardi : 18:00–00:00
mercredi : Fermé
jeudi : 18:00–02:00
vendredi : 18:00–02:00
samedi : 18:00–02:00
dimanche : 18:00–00:00";Palace, Lounge, Rooftops
BAR JOSEPHINE;45 Bd Raspail, 6e;01 49 54 46 00;"lundi : 17:00–01:00
mardi : 17:00–01:00
mercredi : 17:00–01:00
jeudi : 17:00–01:00
vendredi : 17:00–01:00
samedi : 17:00–01:00
dimanche : 17:00–01:00";Palace, Lounge, Rooftops
BUDDHA BAR;8-12 Rue Boissy d'Anglas, 8e;01 53 05 90 00;"lundi : 18:00–02:00
mardi : 18:00–02:00
mercredi : 18:00–02:00
jeudi : 18:00–02:00
vendredi : 18:00–02:00
samedi : 18:00–02:00
dimanche : 18:00–02:00";Palace, Lounge, Rooftops
MISS KŌ;49-51 Av. George V, 75008;01 53 67 84 60;"lundi : 12:00–02:00
mardi : 12:00–02:00
mercredi : 12:00–02:00
jeudi : 12:00–02:00
vendredi : 12:00–02:00
samedi : 12:00–02:00
dimanche : 12:00–02:00";Palace, Lounge, Rooftops
SKYBAR PARIS;19 Rue Cdt Mouchotte, 14e;01 44 36 44 36;"lundi : 18:00–01:00
mardi : 18:00–01:00
mercredi : 18:00–01:00
jeudi : 18:00–02:00
vendredi : 18:00–02:00
samedi : 18:00–02:00
dimanche : 18:00–01:00";Palace, Lounge, Rooftops
PERRUCHE;2 Rue du Havre, 9e;01 40 34 01 23;"lundi : 12:00–15:00, 19:00–02:00
mardi : 12:00–15:00, 19:00–02:00
mercredi : 12:00–15:00, 19:00–02:00
jeudi : 12:00–15:00, 19:00–02:00
vendredi : 12:00–15:00, 19:00–02:00
samedi : 12:30–16:00, 19:00–02:00
dimanche : 12:30–16:00, 19:00–02:00";Palace, Lounge, Rooftops
LE BRACH;1-7 Rue Richepin, 16e;01 93 30 03 00;"lundi : 07:00–23:00
mardi : 07:00–23:00
mercredi : 07:00–23:00
jeudi : 07:00–23:00
vendredi : 07:00–23:00
samedi : 07:00–23:00
dimanche : 07:00–23:00";Palace, Lounge, Rooftops
BAR SUR LE TOIT;24 rue cadet 75009;01 55 07 85 07;"lundi : 17:00–01:00
mardi : 17:00–01:00
mercredi : 17:00–01:00
jeudi : 17:00–01:00
vendredi : 17:00–01:00
samedi : 17:00–01:00
dimanche : 17:00–01:00";Palace, Lounge, Rooftops
