Nom;Adresse;Téléphone;Horaires (Jours et Heures);Type de cuisine;Style - Ambiance
LE MEURICE;228 rue de Rivoli, 75001;01 44 58 10 55;Lundi-Vendredi 19h-21h30;Classique;2* Michelin, Grolet
LE PRÉ CATELAN;Bois de Boulogne, 75016;01 44 14 41 14;Mercredi-Samedi 12h-14h / 19h-20h15;Gastronomique;3* Michelin, Opulent
KEI (2nd);5 Rue Coq Héron, 75001;01 42 33 14 74;Mardi-jeudi 19h45-21h Vendredi-samedi 12h30-13h15 / 19h45-21h;Français-Japonais;3* Michelin
LE GABRIEL;42 avenue Gabriel, 75008;01 58 36 60 66;Lundi-Vendredi 12h30-13h30 / 19h30-21h30;Moderne;2* Michelin, La Réserve
SUSHI YOSHINAGA;27 Rue du 4 septembre, 75002;07 57 81 46 46;Mardi-Samedi 19:00-21:30;Japonaise;1* Michelin, Comptoir
L’OISEAU BLANC;19 Avenue Kléber, 75008;01 58 12 28 88;7/7 12:00-14:00 / 19:00-22:00;Français;Vue Tour Eiffel, Peninsula
LE JULES VERNE (2nd);Tour Eiffel (2e étage);01 72 76 16 61;7/7 12h-13h45 / 19h-21h;Gastronomique;Vue 125m, Veste obl.
LA DAME DE PIC;20 Rue du Louvre, 75001;01 42 60 40 40;Mercredi-Dimanche 12h-13h30 / 19h-21h30;Gastronomique;1* Michelin, Élégant
OKUDA;7 Rue de la Tremoille, 75008;01 40 70 19 19;Vendredi-Mardi 12h-13h30 / 18h30-21h30;Japonaise (Kaiseki);Michelin, Silence d'or
LE TAILLEVENT;15 Rue Lamennais, 75008;01 44 95 15 01;Lundi 19:15-21:00 Mardi-Vendredi 12:00-13:30 / 19:15-21:00;Créative;2* Michelin, Classique
LA GRANDE CASCADE;Rte de la Vge aux Berceaux, 75016;01 45 27 33 51;7/7 12h30-13h30 / 19h30-21h30;Gastronomique;2* Michelin, Luxueux
APICIUS;20 Rue d'Artois, 75008;01 43 80 19 66;Lundi-Samedi 12h15-13:30h / 19h15-21:30;Gastronomique;1* Michelin, Raffiné
PAVYLLON PARIS;8 Av. Dutuit, 75008;01 53 05 10 10;7/7 12:00-14:30 / 19:00-22:30;Français Fine Dining;Yannick Alléno, Comptoir
LASSERRE;17 Av. Franklin Roosevelt, 75008;01 43 59 02 13;Mardi-Samedi 19h-21h30;Gastronomique;Toit ouvrant, Luxe
CHEZ L’AMI LOUIS;32 Rue du Vertbois, 75003;01 48 87 77 48;Mer-Dim 12:30-13:15 / 19:30-22:30;Brasserie Trad;Haut de gamme, 3e
OGATA PARIS;16 Rue Debelleyme, 75003;01 80 97 76 80;Mercredi-Dimanche 12h30-15:00 / 19h00 - 23h00;Japonaise;1* Michelin, Omakase
PUR’;5 rue de la Paix, 75002;01 58 71 10 60;Mardi-Samedi 19:00-21:15;Gastronomique;Buffet Entrée/Dessert
MARIUS ET JANETTE;4 Av. George V, 75008;01 47 23 41 88;7/7 12h-15h / 19h-23h;Poissons/Seafood;Yacht poli, Raffiné
LE CLARENCE;31 Av. Franklin Roosevelt, 75008;01 82 82 10 10;Mardi-Samedi 12:30-13:30 / 19:30-21:00;Gastronomique;Grand luxe, 8e
LA FONTAINE DE MARS;129 Rue Saint-Dominique, 75007;01 47 05 46 44;7/7 12:00-14:30 / 19:00-23:00;Classique;Brasserie chic, Terrasse
LE VOLTAIRE;27 Quai Voltaire, 75007;01 42 61 17 49;7/7 12:00-15:30 / 19:00-22:30;Traditionnelle;Salle boisée, Terrasse
ALLARD;41 rue St-André-des-Arts, 75006;01 43 26 48 23;7/7 12:00-14:00 / 19:00-22:00;Traditionnelle;Authentique, 6e
CHEZ FRANCIS;7 Place de l’Alma, 75008;01 47 20 86 83;7/7 8h30-23h30 service continu ;French Classic;Vue Tour Eiffel
L’AVENUE;41 Avenue Montaigne, 75008;01 40 70 14 91;Lundi-vendredi 8h00-1h00 Samedi-Dimanche 9h00-00:30;High-end Brasserie;Terrasse, People-watching
LE RELAIS DE L’ENTRECÔTE;15 Rue Marbeuf, 75008;01 49 52 07 17;Lundi-Vendredi 12:00-14:30 / 18h30-23h00 Samedi-Dimanche 12h-15h / 18h30-23h00;Steak-Frites;Friendly, Menu unique
MATIGNON;3 Av. Matignon, 75008;01 42 89 64 72;Lundi-Vendredi 8h-2h Samedi-Dimanche 10h-2h;Trad / Cocktails;Boîte de nuit, Terrasse
BOEUF SUR LE TOIT;34 rue du colisée, 75008;01 53 93 65 50;Mardi-Dimanche 19h-02h;Brasserie;Musical, Historique
LE CINQ (GEORGE V);31 avenue George-V, 75008;01 49 52 71 54;Mardi-Samedi 19h-21h30;Français;3* Michelin, Palace
COCO;Opéra Garnier, 75009;01 42 68 68 68;7/7 12:00-15:00 / 18:30-2:00;Brunch / Fr;Chic, Terrasse
GIGI (2nd);15 Av. Montaigne, 75008;01 47 23 55 99;7/7 12h-15h / 19h-22h;Italien;Vue Tour Eiffel
Langosteria;8 quai du Louvre, 1er;01 79 35 50 33;Mercredi-Dimanche 12h00-15:00 / 18h00 - 23h00 Lundi-Mardi 18h-23h;Poisson;Méditerranéen luxe au Cheval Blanc.
