Nom;Adresse;Téléphone;Horaires (Jours et Heures);Type de cuisine;Style-Ambiance
CHEZ SAVY;23 Rue Bayard, 75008;01 47 23 46 98;Lundi-Vendredi 12:00–14:30 / 19:00-23:00;Traditionnelle;Rétro Art déco
LA COUPOLE;102 Bd du Montparnasse, 75014;01 43 20 14 20;7/7 08:00–00:00 sauf dimanche et lundi fermeture a 23:00;Française;Brasserie emblématique
GRAND CAFÉ CAPUCINES;4 Bd des Capucines, 75009;01 43 12 19 00;7/7 07:00–01:00;Fruits de mer;Terrasse, 9e
BOFINGER;5–7 Rue de la Bastille, 75004;01 42 72 87 82;7/7 12:00-15:00 / 18:30-23:00 sauf vendredi et samedi fermeture a 00:00;Alsacienne;Belle Époque
L’ATTILLIO;184 Rue du Fbg St-Honoré, 75008;01 59 30 29 34;Lundi-Mercredi 12:00-14:00 / 19:00-00:00 Jeudi-Vendredi 12:00-14:00 / 19:00-02:00 Samedi 19:00-02:00;Gastronomique;Gastronomique, 8e
LE TRAIN BLEU;Gare de Lyon, Pl. Louis Armand hall 1, 75012;01 43 43 09 06;7/7 11:15-14:15 / 19:00-22:15;Gastronomique;Historique, Gare
RESTAURANT ARBORÉ;29 Rue de l’Arcade, 75008;01 88 32 74 27;Lundi-Vendredi 12:00-14:30 ;Bistronomique;Responsable, Contemporain
LE CLARENCE;31 Av. Franklin Roosevelt, 75008;01 82 82 10 10;Mardi-Samedi 12:30-13:30 / 19:30-21:00;Gastronomique;Grand luxe, 8e
LA FONTAINE DE MARS;129 Rue Saint-Dominique, 75007;01 47 05 46 44;7/7 12:00-14:30 / 19:00-23:00;Classique;Brasserie chic, Terrasse
CHEZ L’AMI LOUIS;32 Rue du Vertbois, 75003;01 48 87 77 48;Mer-Dim 12:30-13:15 / 19:30-22:30;Brasserie Trad;Haut de gamme, 3e
L’AMI JEAN;27 Rue Malar, 75007;01 47 05 86 89;Mardi-Samedi 12:00-14:00 / 19:00-23:00 Samedi ouvert le midi seulement ;Terroir;Chaleureuse, 7e
BRASSERIE LIPP;151 Bd Saint‑Germain, 75006;01 45 48 53 91;7/7 09:00–02:00;Française;Iconique, 6e
LE BON GEORGES;45 Rue Saint‑Georges, 75009;01 48 78 40 30;7/7 12:00-14:30 / 19:00-22:30;Classique;Brasserie, Vins
LE COLIMAÇON;44 Rue Vieille du Temple, 75004;01 48 87 12 01;Lundi-Samedi 18:30–23:00 Dimanche 12:30-14:30 / 18:30-23:00;Créatif;Cadre chaleureux, 4e
BISTROT PAUL BERT;18 Rue Paul Bert, 75011;01 43 72 24 01;Mardi-Samedi 12:00-14:00 / 19:30-23:00;Bistrot;Familiale, Généreuse
LA TABLE DES GOURMETS;14 Rue des Lombards, 75004;01 40 27 00 87;7/7 12:00-14:30 / 19:00-23:00;Française;Insolite (Chapelle 12e s)
LE GRAND CAFÉ;Pl. Clemenceau (Grand Palais);01 85 09 40 50;7/7 12:00–02:00;Brasserie;Tard le soir, 8e
FRANÇOIS FELIX;9 Rue Boissy d’Anglas, 75008;01 42 65 04 05;Lundi-Vendredi 7:00-00:30 Samedi 9:00-00:30 Dimanche 12:00-00:30;Brasserie;À côté du Ritz
NECTAR;7 Rue Mayran, 75009;01 42 80 00 00;Mardi-Samedi 12:00-14:30 / 19:00-23:00;Créative;Design, 9e
LE PETIT LUTETIA;107 Rue de Sèvres, 75006;01 45 48 33 53;Lundi 12:00-15:00 / 19:00-23:00 Mardi-Vendredi 12:00-15:00 / 19:00-23:30 Samedi 12:00-16:00 / 19:00-23:30 Dimanche 12:00-16:00 / 19:00-23:00 ;Brasserie;Rétro élégante, 6e
LE VOLTAIRE;27 Quai Voltaire, 75007;01 42 61 17 49;7/7 12:00-15:30 / 19:00-22:30;Traditionnelle;Salle boisée, Terrasse
L’ATELIER MAÎTRE ALBERT;1 rue Maître Albert, 75005;01 56 81 30 01;7/7 12:00-14:30 / 18:30-21:30;Contemporaine;Guy Savoy, Historique
ALLARD;41 rue St-André-des-Arts, 75006;01 43 26 48 23;7/7 12:00-14:00 / 19:00-22:00;Traditionnelle;Authentique, 6e
